"日付","メンバー合計数","承認待ちのメンバー","承認されたメンバーリクエスト","却下されたメンバーリクエスト","投稿","コメント","リアクション","アクティブなメンバー"
"2020-08-11","141","0","1","0","2","1","3","34"
"2020-08-12","141","0","0","0","5","1","5","42"
"2020-08-13","142","0","1","0","8","9","10","54"
"2020-08-14","142","0","0","0","8","19","11","53"
"2020-08-15","143","0","1","0","4","5","18","56"
"2020-08-16","143","0","0","0","18","16","11","50"
"2020-08-17","145","0","2","0","6","6","18","57"
"2020-08-18","146","0","0","0","5","17","11","56"
"2020-08-19","146","0","0","0","10","6","10","51"
"2020-08-20","146","0","0","0","2","4","6","51"
"2020-08-21","149","0","2","0","13","31","21","61"
"2020-08-22","149","0","0","0","7","11","19","59"
"2020-08-23","149","0","0","0","7","18","11","54"
"2020-08-24","150","0","1","0","9","7","13","61"
"2020-08-25","150","0","0","0","2","3","8","54"
"2020-08-26","150","0","0","0","10","10","10","56"
"2020-08-27","150","0","0","0","4","6","12","55"
"2020-08-28","151","0","1","0","1","0","3","42"
"2020-08-29","154","0","1","0","0","0","1","45"
"2020-08-30","154","0","0","0","0","0","1","27"
"2020-08-31","154","1","0","0","1","0","0","21"
"2020-09-01","154","1","0","0","1","0","5","54"
"2020-09-02","156","0","2","0","2","1","5","37"
"2020-09-03","156","0","0","0","6","6","10","59"
"2020-09-04","156","0","0","0","4","2","8","53"
"2020-09-05","156","0","0","0","2","1","5","50"
"2020-09-06","157","0","1","0","2","10","7","51"
"2020-09-07","159","0","2","0","2","1","3","53"
"2020-09-08","159","0","0","0","1","1","3","48"
"2020-09-09","160","0","1","0","4","4","12","61"
"2020-09-10","160","0","0","0","1","0","1","49"
"2020-09-11","162","0","2","0","4","3","7","51"
"2020-09-12","163","0","1","0","3","2","10","60"
"2020-09-13","163","1","0","0","2","0","5","65"
"2020-09-14","164","0","1","0","3","8","2","47"
"2020-09-15","164","0","0","0","2","3","8","65"
"2020-09-16","165","0","1","0","3","12","6","57"
"2020-09-17","166","0","1","0","2","0","5","59"
"2020-09-18","166","0","1","0","0","0","1","40"
"2020-09-19","166","0","0","0","0","0","0","16"
"2020-09-20","168","0","2","0","4","9","7","56"
"2020-09-21","168","0","0","0","1","2","3","52"
"2020-09-22","167","0","0","0","1","1","5","45"
"2020-09-23","176","0","9","0","9","6","11","68"
"2020-09-24","182","0","6","0","3","0","2","69"
"2020-09-25","183","0","1","0","0","0","2","47"
"2020-09-26","189","1","6","0","1","0","2","53"
"2020-09-27","191","0","2","0","3","21","7","79"
"2020-09-28","193","0","2","0","0","0","1","53"
"2020-09-29","194","0","1","0","2","0","1","59"
"2020-09-30","197","0","3","0","2","1","9","71"
"2020-10-01","199","0","1","0","1","3","5","69"
"2020-10-02","199","0","0","0","3","0","10","73"
"2020-10-03","200","0","1","0","1","0","2","45"
"2020-10-04","203","0","2","0","2","10","22","85"
"2020-10-05","203","0","0","0","4","4","15","81"
"2020-10-06","203","0","0","0","3","10","26","84"
"2020-10-07","205","0","2","0","1","4","11","77"
"2020-10-08","208","1","3","0","1","3","9","77"
"2020-10-09","211","0","3","0","0","0","3","31"
"2020-10-10","212","0","1","0","0","0","2","20"
"2020-10-11","213","0","1","0","1","2","2","53"
"2020-10-12","215","0","2","0","2","1","6","75"
"2020-10-13","216","0","1","0","1","1","3","52"
"2020-10-14","216","0","0","0","8","15","15","91"
"2020-10-15","216","0","0","0","1","2","10","77"
"2020-10-16","219","0","3","0","6","11","14","79"
"2020-10-17","220","0","1","0","1","0","4","65"
"2020-10-18","220","0","0","0","3","5","8","66"
"2020-10-19","221","1","1","0","4","2","11","75"
"2020-10-20","223","0","2","0","1","0","4","64"
"2020-10-21","224","0","1","0","0","0","3","68"
"2020-10-22","224","0","0","0","3","1","10","83"
"2020-10-23","225","0","3","0","5","5","11","86"
"2020-10-24","228","0","3","0","0","0","6","82"
"2020-10-25","234","0","6","0","1","0","2","78"
"2020-10-26","236","0","2","0","0","0","0","17"
"2020-10-27","239","0","3","0","3","1","2","19"
"2020-10-28","242","0","3","0","8","11","14","104"
"2020-10-29","244","0","3","0","9","2","14","101"
"2020-10-30","248","0","4","0","9","10","28","97"
"2020-10-31","249","0","1","0","0","0","2","62"
"2020-11-01","251","1","2","0","2","0","6","88"
"2020-11-02","257","0","6","0","10","20","26","119"
"2020-11-03","257","0","0","0","9","13","25","102"
"2020-11-04","257","0","0","0","9","8","15","105"
"2020-11-05","258","0","1","0","7","4","30","116"
"2020-11-06","260","1","2","0","0","3","10","76"
"2020-11-07","270","0","10","0","2","6","10","95"
"2020-11-08","272","0","2","0","4","2","13","111"
"2020-11-09","273","0","1","0","3","3","21","108"
"2020-11-10","274","0","1","0","3","4","10","94"
"2020-11-11","277","0","3","0","2","3","19","107"
"2020-11-12","280","0","3","0","8","7","30","113"
"2020-11-13","284","0","4","0","6","3","15","123"
"2020-11-14","286","1","2","0","1","0","9","101"
"2020-11-15","294","0","8","0","4","12","19","93"
"2020-11-16","305","0","11","0","12","7","37","137"
"2020-11-17","312","0","7","0","7","19","33","147"
"2020-11-18","321","0","9","0","11","13","16","149"
"2020-11-19","331","2","10","0","4","3","31","155"
"2020-11-20","342","0","11","0","9","10","40","174"
"2020-11-21","349","0","7","0","2","3","13","167"
"2020-11-22","358","0","9","0","11","6","46","199"
"2020-11-23","361","0","3","0","1","3","13","173"
"2020-11-24","367","0","13","0","6","8","34","190"
